Height	P1	P3	P15	P50	P85	P97	P99
65.0	6.177	6.394	6.834	7.433	8.104	8.713	9.059
65.1	6.197	6.415	6.856	7.456	8.130	8.740	9.088
65.2	6.217	6.435	6.878	7.480	8.155	8.768	9.117
65.3	6.236	6.455	6.900	7.503	8.181	8.795	9.145
65.4	6.256	6.476	6.921	7.527	8.206	8.823	9.173
65.5	6.276	6.496	6.943	7.550	8.232	8.850	9.202
65.6	6.295	6.516	6.964	7.574	8.258	8.878	9.230
65.7	6.315	6.536	6.986	7.597	8.283	8.905	9.259
65.8	6.334	6.556	7.008	7.621	8.308	8.932	9.287
65.9	6.354	6.577	7.029	7.644	8.334	8.960	9.316
66.0	6.373	6.597	7.051	7.667	8.359	8.987	9.344
66.1	6.392	6.617	7.072	7.691	8.385	9.014	9.372
66.2	6.412	6.637	7.093	7.714	8.410	9.041	9.401
66.3	6.431	6.657	7.115	7.737	8.435	9.069	9.429
66.4	6.450	6.677	7.136	7.760	8.461	9.096	9.457
66.5	6.470	6.697	7.157	7.783	8.486	9.123	9.485
66.6	6.489	6.716	7.179	7.806	8.511	9.150	9.514
66.7	6.508	6.736	7.200	7.830	8.536	9.177	9.542
66.8	6.527	6.756	7.221	7.853	8.561	9.204	9.570
66.9	6.546	6.776	7.242	7.876	8.587	9.231	9.598
67.0	6.565	6.796	7.263	7.899	8.612	9.258	9.626
67.1	6.584	6.815	7.284	7.922	8.637	9.285	9.654
67.2	6.603	6.835	7.305	7.944	8.662	9.312	9.682
67.3	6.622	6.855	7.326	7.967	8.687	9.339	9.710
67.4	6.641	6.874	7.347	7.990	8.712	9.366	9.738
67.5	6.660	6.894	7.368	8.013	8.737	9.393	9.766
67.6	6.679	6.914	7.389	8.036	8.762	9.420	9.794
67.7	6.698	6.933	7.410	8.059	8.786	9.446	9.822
67.8	6.717	6.953	7.431	8.082	8.811	9.473	9.850
67.9	6.736	6.972	7.452	8.104	8.836	9.500	9.878
68.0	6.755	6.992	7.473	8.127	8.861	9.527	9.906
68.1	6.773	7.011	7.494	8.150	8.886	9.554	9.934
68.2	6.792	7.031	7.515	8.173	8.911	9.581	9.962
68.3	6.811	7.050	7.536	8.196	8.936	9.607	9.989
68.4	6.830	7.070	7.557	8.218	8.961	9.634	10.017
68.5	6.849	7.089	7.577	8.241	8.986	9.661	10.045
68.6	6.867	7.109	7.598	8.264	9.011	9.688	10.073
68.7	6.886	7.128	7.619	8.286	9.035	9.715	10.101
68.8	6.905	7.147	7.640	8.309	9.060	9.742	10.129
68.9	6.924	7.167	7.661	8.332	9.085	9.769	10.157
69.0	6.942	7.186	7.682	8.355	9.110	9.795	10.185
69.1	6.961	7.206	7.702	8.377	9.135	9.822	10.213
69.2	6.980	7.225	7.723	8.400	9.160	9.849	10.241
