Height	P1	P3	P15	P50	P85	P97	P99
65.0	5.905	6.133	6.599	7.240	7.971	8.645	9.032
65.1	5.924	6.152	6.619	7.263	7.996	8.671	9.060
65.2	5.942	6.171	6.640	7.285	8.021	8.698	9.088
65.3	5.960	6.190	6.660	7.308	8.045	8.725	9.115
65.4	5.979	6.209	6.681	7.330	8.070	8.751	9.143
65.5	5.997	6.228	6.701	7.352	8.094	8.778	9.171
65.6	6.015	6.247	6.721	7.374	8.119	8.804	9.198
65.7	6.034	6.266	6.742	7.397	8.143	8.830	9.226
65.8	6.052	6.285	6.762	7.419	8.167	8.857	9.253
65.9	6.070	6.304	6.782	7.441	8.192	8.883	9.280
66.0	6.088	6.322	6.802	7.463	8.216	8.909	9.308
66.1	6.106	6.341	6.822	7.485	8.240	8.935	9.335
66.2	6.124	6.360	6.842	7.507	8.264	8.961	9.362
66.3	6.142	6.379	6.863	7.529	8.288	8.987	9.389
66.4	6.160	6.397	6.883	7.551	8.312	9.013	9.416
66.5	6.178	6.416	6.902	7.572	8.336	9.039	9.443
66.6	6.196	6.434	6.922	7.594	8.360	9.065	9.470
66.7	6.214	6.453	6.942	7.616	8.383	9.090	9.497
66.8	6.231	6.471	6.962	7.638	8.407	9.116	9.523
66.9	6.249	6.490	6.982	7.659	8.431	9.141	9.550
67.0	6.267	6.508	7.001	7.681	8.454	9.167	9.577
67.1	6.284	6.526	7.021	7.702	8.478	9.192	9.603
67.2	6.302	6.545	7.041	7.723	8.501	9.217	9.629
67.3	6.320	6.563	7.060	7.745	8.525	9.243	9.656
67.4	6.337	6.581	7.080	7.766	8.548	9.268	9.682
67.5	6.355	6.599	7.099	7.787	8.571	9.293	9.708
67.6	6.372	6.617	7.119	7.809	8.595	9.318	9.735
67.7	6.390	6.635	7.138	7.830	8.618	9.343	9.761
67.8	6.407	6.653	7.157	7.851	8.641	9.368	9.787
67.9	6.424	6.671	7.177	7.872	8.664	9.393	9.813
68.0	6.442	6.689	7.196	7.893	8.687	9.418	9.839
68.1	6.459	6.707	7.215	7.914	8.710	9.443	9.865
68.2	6.476	6.725	7.234	7.935	8.733	9.468	9.890
68.3	6.494	6.743	7.253	7.956	8.756	9.493	9.916
68.4	6.511	6.761	7.273	7.977	8.779	9.517	9.942
68.5	6.528	6.779	7.292	7.998	8.802	9.542	9.968
68.6	6.545	6.796	7.311	8.018	8.825	9.567	9.993
68.7	6.562	6.814	7.330	8.039	8.847	9.591	10.019
