clinic,encounter,day,encounters
11100,1,2006-01-31,2
11100,1,2006-03-31,3
11100,1,2006-04-30,9
11100,1,2006-05-31,11
11100,1,2006-06-30,22
11100,1,2006-07-31,28
11100,1,2006-08-31,19
11100,1,2006-09-30,43
11100,1,2006-10-31,47
11100,1,2006-11-30,67
11100,1,2006-12-31,2
11100,1,2007-01-31,51
11100,1,2007-02-28,64
11100,1,2007-03-31,87
11100,1,2007-04-30,94
11100,1,2007-05-31,93
11100,1,2007-06-30,50
11100,1,2007-07-31,101
11100,1,2007-08-31,131
11100,1,2007-09-30,110
11100,1,2007-10-31,118
11100,1,2007-11-30,108
11100,1,2007-12-31,90
11100,1,2008-01-31,127
11100,1,2008-02-29,138
11100,1,2008-03-31,100
11100,1,2008-04-30,102
11100,1,2008-05-31,112
11100,1,2008-06-30,107
11100,1,2008-07-31,100
11100,1,2008-08-31,85
11100,1,2008-09-30,99
11100,1,2008-10-31,89
11100,1,2008-11-30,79
11100,1,2008-12-31,104
11100,1,2009-01-31,118
11100,1,2009-02-28,98
11100,1,2009-03-31,157
11100,1,2009-04-30,115
11100,1,2009-05-31,95
11100,1,2009-06-30,73
11100,1,2009-07-31,45
11100,1,2009-08-31,45
11100,1,2009-09-30,51
11100,1,2009-10-31,45
11100,1,2009-11-30,51
11100,1,2009-12-31,48
11100,1,2010-01-31,14
11100,1,2010-03-31,42
11100,1,2010-04-30,60
11100,1,2010-05-31,60
11100,1,2010-06-30,48
11100,1,2010-07-31,65
11100,1,2010-08-31,53
11100,1,2010-09-30,65
11100,1,2010-10-31,54
11100,1,2010-11-30,29
11100,1,2010-12-31,36
11100,1,2011-01-31,61
11100,1,2011-02-28,67
11100,1,2011-03-31,74
11100,1,2011-04-30,53
11100,1,2011-05-31,44
11100,1,2011-06-30,26
11100,1,2011-07-31,21
11100,1,2011-08-31,3
11100,1,2011-09-30,39
11100,1,2011-10-31,26
11100,1,2011-11-30,51
11100,1,2011-12-31,54
11100,1,2012-01-31,35
11100,1,2012-02-29,19
11100,2,2006-01-31,4
11100,2,2006-02-28,1
11100,2,2006-03-31,2
11100,2,2006-04-30,13
11100,2,2006-05-31,20
11100,2,2006-06-30,7
11100,2,2006-07-31,10
11100,2,2006-08-31,18
11100,2,2006-09-30,56
11100,2,2006-10-31,86
11100,2,2006-11-30,123
11100,2,2006-12-31,108
11100,2,2007-01-31,228
11100,2,2007-02-28,242
11100,2,2007-03-31,323
11100,2,2007-04-30,323
11100,2,2007-05-31,419
11100,2,2007-06-30,361
11100,2,2007-07-31,443
11100,2,2007-08-31,443
11100,2,2007-09-30,446
11100,2,2007-10-31,456
11100,2,2007-11-30,540
11100,2,2007-12-31,502
11100,2,2008-01-31,654
11100,2,2008-02-29,597
11100,2,2008-03-31,709
11100,2,2008-04-30,739
11100,2,2008-05-31,827
11100,2,2008-06-30,817
11100,2,2008-07-31,941
11100,2,2008-08-31,803
11100,2,2008-09-30,907
11100,2,2008-10-31,995
11100,2,2008-11-30,927
11100,2,2008-12-31,1031
11100,2,2009-01-31,1143
11100,2,2009-02-28,1072
11100,2,2009-03-31,1363
11100,2,2009-04-30,1296
11100,2,2009-05-31,1278
11100,2,2009-06-30,1196
11100,2,2009-07-31,1260
11100,2,2009-08-31,1148
11100,2,2009-09-30,1186
11100,2,2009-10-31,1238
11100,2,2009-11-30,1121
11100,2,2009-12-31,1046
11100,2,2010-01-31,353
11100,2,2010-02-28,371
11100,2,2010-03-31,493
11100,2,2010-04-30,724
11100,2,2010-05-31,930
11100,2,2010-06-30,763
11100,2,2010-07-31,824
11100,2,2010-08-31,896
11100,2,2010-09-30,896
11100,2,2010-10-31,1001
11100,2,2010-11-30,809
11100,2,2010-12-31,821
11100,2,2011-01-31,881
11100,2,2011-02-28,825
11100,2,2011-03-31,833
11100,2,2011-04-30,565
11100,2,2011-05-31,348
11100,2,2011-06-30,438
11100,2,2011-07-31,687
11100,2,2011-08-31,705
11100,2,2011-09-30,627
11100,2,2011-10-31,243
11100,2,2011-11-30,691
11100,2,2011-12-31,618
11100,2,2012-01-31,607
11100,2,2012-02-29,205
11100,3,2006-02-28,2
11100,3,2006-03-31,3
11100,3,2006-04-30,2
11100,3,2006-06-30,2
11100,3,2006-07-31,3
11100,3,2006-08-31,1
11100,3,2006-09-30,27
11100,3,2006-10-31,30
11100,3,2006-11-30,12
11100,3,2007-01-31,16
11100,3,2007-02-28,13
11100,3,2007-03-31,33
11100,3,2007-04-30,64
11100,3,2007-05-31,93
11100,3,2007-06-30,43
11100,3,2007-07-31,95
11100,3,2007-08-31,129
11100,3,2007-09-30,91
11100,3,2007-10-31,109
11100,3,2007-11-30,109
11100,3,2007-12-31,91
11100,3,2008-01-31,129
11100,3,2008-02-29,142
11100,3,2008-03-31,103
11100,3,2008-04-30,89
11100,3,2008-05-31,112
11100,3,2008-06-30,105
11100,3,2008-07-31,103
11100,3,2008-08-31,84
11100,3,2008-09-30,105
11100,3,2008-10-31,79
11100,3,2008-11-30,77
11100,3,2008-12-31,104
11100,3,2009-01-31,126
11100,3,2009-02-28,102
11100,3,2009-03-31,151
11100,3,2009-04-30,101
11100,3,2009-05-31,78
11100,3,2009-06-30,63
11100,3,2009-07-31,46
11100,3,2009-08-31,51
11100,3,2009-09-30,51
11100,3,2009-10-31,35
11100,3,2009-11-30,45
11100,3,2009-12-31,43
11100,3,2010-01-31,12
11100,3,2010-02-28,2
11100,3,2010-03-31,26
11100,3,2010-04-30,35
11100,3,2010-05-31,37
11100,3,2010-06-30,51
11100,3,2010-07-31,68
11100,3,2010-08-31,56
11100,3,2010-09-30,70
11100,3,2010-10-31,47
11100,3,2010-11-30,27
11100,3,2010-12-31,34
11100,3,2011-01-31,48
11100,3,2011-02-28,55
11100,3,2011-03-31,66
11100,3,2011-04-30,45
11100,3,2011-05-31,53
11100,3,2011-06-30,24
11100,3,2011-09-30,1
11100,3,2011-11-30,2
11100,3,2011-12-31,9
11100,3,2012-01-31,19
11100,3,2012-02-29,25
11100,4,2006-05-31,1
11100,4,2006-07-31,1
11100,4,2006-09-30,6
11100,4,2006-10-31,2
11100,4,2006-11-30,2
11100,4,2006-12-31,1
11100,4,2007-02-28,1
11100,4,2007-04-30,7
11100,4,2007-05-31,11
11100,4,2007-06-30,11
11100,4,2007-07-31,12
