clinic,hiv,day,population
11100,,2007-10-31,0
11100,,2007-12-31,0
11100,,2008-01-31,0
11100,,2008-03-31,0
11100,,2008-04-30,0
11100,,2008-06-30,0
11100,,2008-07-31,0
11100,,2008-10-31,0
11100,,2008-12-31,0
11100,,2009-01-31,0
11100,,2009-03-31,0
11100,,2009-04-30,0
11100,,2009-05-31,0
11100,1,2006-01-31,102
11100,1,2006-03-31,114
11100,1,2006-04-30,131
11100,1,2006-06-30,188
11100,1,2006-07-31,218
11100,1,2006-09-30,274
11100,1,2006-10-31,325
11100,1,2006-12-31,374
11100,1,2007-01-31,464
11100,1,2007-03-31,638
11100,1,2007-04-30,730
11100,1,2007-06-30,868
11100,1,2007-07-31,976
11100,1,2007-09-30,1215
11100,1,2007-10-31,1349
11100,1,2007-12-31,1565
11100,1,2008-01-31,1709
11100,1,2008-03-31,1975
11100,1,2008-04-30,2096
11100,1,2008-06-30,2341
11100,1,2008-07-31,2464
11100,1,2008-09-30,2690
11100,1,2008-10-31,2790
11100,1,2008-12-31,3027
11100,1,2009-01-31,3187
11100,1,2009-03-31,3532
11100,1,2009-04-30,3690
11100,1,2009-05-31,3816
11100,1,2009-06-30,3922
11100,1,2009-07-31,3978
11100,1,2009-08-31,4063
11100,1,2009-09-30,4153
11100,1,2009-10-31,4217
11100,1,2009-11-30,4298
11100,1,2009-12-31,4377
11100,1,2010-01-31,4412
11100,1,2010-02-28,4425
11100,1,2010-03-31,4474
11100,1,2010-04-30,4527
11100,1,2010-05-31,4585
11100,1,2010-06-30,4634
11100,1,2010-07-31,4705
11100,1,2010-08-31,4758
11100,1,2010-09-30,4822
11100,1,2010-10-31,4883
11100,1,2010-11-30,4917
11100,1,2010-12-31,4954
11100,1,2011-01-31,5007
11100,1,2011-02-28,5070
11100,1,2011-03-31,5139
11100,1,2011-04-30,5193
11100,1,2011-05-31,5239
11100,1,2011-06-30,5268
11100,1,2011-07-31,5288
11100,1,2011-08-31,5293
11100,1,2011-09-30,5332
11100,1,2011-10-31,5360
11100,1,2011-11-30,5408
11100,1,2011-12-31,5459
11100,1,2012-01-31,5493
11120,1,2007-06-30,1
11120,1,2007-07-31,1
11120,1,2007-09-30,1
11120,1,2007-10-31,1
11120,1,2007-12-31,1
11120,1,2008-01-31,1
11120,1,2008-03-31,1
11120,1,2008-04-30,1
11120,1,2008-06-30,1
11120,1,2008-07-31,2
11120,1,2008-09-30,1
11120,1,2008-10-31,2
11120,1,2008-12-31,2
11120,1,2009-01-31,2
11120,1,2009-03-31,2
11120,1,2009-04-30,3
11120,1,2009-05-31,8
11120,1,2009-06-30,12
11120,1,2009-07-31,27
11120,1,2009-08-31,36
11120,1,2009-09-30,49
11120,1,2009-10-31,55
11120,1,2009-11-30,67
11120,1,2009-12-31,80
11120,1,2010-01-31,86
11120,1,2010-02-28,94
11120,1,2010-03-31,116
11120,1,2010-04-30,131
11120,1,2010-05-31,159
11120,1,2010-06-30,181
11120,1,2010-07-31,200
11120,1,2010-08-31,215
11120,1,2010-09-30,222
11120,1,2010-10-31,240
11120,1,2010-11-30,256
11120,1,2010-12-31,275
11120,1,2011-01-31,289
11120,1,2011-02-28,306
11120,1,2011-03-31,311
11120,1,2011-04-30,317
11120,1,2011-05-31,355
11120,1,2011-06-30,366
11120,1,2011-07-31,370
11120,1,2011-08-31,378
11120,1,2011-09-30,393
11120,1,2011-10-31,399
