clinic,sex,day,population
11100,,2007-10-31,0
11100,,2007-12-31,0
11100,,2008-01-31,0
11100,,2008-03-31,0
11100,,2008-04-30,0
11100,,2008-06-30,0
11100,,2008-07-31,0
11100,,2008-10-31,0
11100,,2008-12-31,0
11100,,2009-01-31,0
11100,,2009-03-31,0
11100,,2009-04-30,0
11100,,2009-05-31,0
11100,,2011-08-31,1
11100,,2011-09-30,2
11100,,2011-10-31,4
11100,,2011-11-30,6
11100,,2011-12-31,9
11100,,2012-01-31,11
11100,0,2008-03-31,1
11100,0,2008-04-30,1
11100,0,2008-06-30,1
11100,0,2008-07-31,1
11100,0,2008-09-30,1
11100,0,2008-10-31,1
11100,0,2008-12-31,1
11100,0,2009-01-31,1
11100,0,2009-03-31,1
11100,0,2009-04-30,1
11100,0,2009-05-31,1
11100,0,2009-06-30,1
11100,0,2009-07-31,1
11100,0,2009-08-31,1
11100,0,2009-09-30,1
11100,0,2009-10-31,1
11100,0,2009-11-30,1
11100,0,2009-12-31,1
11100,0,2010-01-31,1
11100,0,2010-02-28,1
11100,0,2010-03-31,1
11100,0,2010-04-30,1
11100,0,2010-05-31,1
11100,0,2010-06-30,1
11100,0,2010-07-31,1
11100,0,2010-08-31,1
11100,0,2010-09-30,1
11100,0,2010-10-31,1
11100,0,2010-11-30,1
11100,0,2010-12-31,1
11100,0,2011-01-31,1
11100,0,2011-02-28,1
11100,0,2011-03-31,1
11100,0,2011-04-30,1
11100,0,2011-05-31,1
11100,0,2011-06-30,1
11100,0,2011-07-31,1
11100,0,2011-08-31,1
11100,0,2011-09-30,1
11100,0,2011-10-31,1
11100,0,2011-11-30,1
11100,0,2011-12-31,1
11100,0,2012-01-31,1
11100,1,2006-01-31,59
11100,1,2006-03-31,68
11100,1,2006-04-30,78
11100,1,2006-06-30,110
11100,1,2006-07-31,128
11100,1,2006-09-30,163
11100,1,2006-10-31,201
11100,1,2006-12-31,237
11100,1,2007-01-31,296
11100,1,2007-03-31,410
11100,1,2007-04-30,464
11100,1,2007-06-30,565
11100,1,2007-07-31,637
11100,1,2007-09-30,792
11100,1,2007-10-31,877
11100,1,2007-12-31,1021
11100,1,2008-01-31,1116
11100,1,2008-03-31,1285
11100,1,2008-04-30,1362
11100,1,2008-06-30,1523
11100,1,2008-07-31,1606
11100,1,2008-09-30,1745
11100,1,2008-10-31,1805
11100,1,2008-12-31,1955
11100,1,2009-01-31,2044
11100,1,2009-03-31,2273
11100,1,2009-04-30,2381
11100,1,2009-05-31,2459
11100,1,2009-06-30,2521
11100,1,2009-07-31,2549
11100,1,2009-08-31,2600
11100,1,2009-09-30,2651
11100,1,2009-10-31,2693
11100,1,2009-11-30,2744
11100,1,2009-12-31,2789
11100,1,2010-01-31,2809
11100,1,2010-02-28,2816
11100,1,2010-03-31,2850
11100,1,2010-04-30,2883
11100,1,2010-05-31,2909
11100,1,2010-06-30,2941
11100,1,2010-07-31,2986
11100,1,2010-08-31,3019
11100,1,2010-09-30,3056
11100,1,2010-10-31,3088
11100,1,2010-11-30,3111
11100,1,2010-12-31,3137
11100,1,2011-01-31,3171
11100,1,2011-02-28,3205
11100,1,2011-03-31,3252
11100,1,2011-04-30,3281
11100,1,2011-05-31,3304
11100,1,2011-06-30,3319
11100,1,2011-07-31,3335
11100,1,2011-08-31,3337
11100,1,2011-09-30,3361
11100,1,2011-10-31,3379
11100,1,2011-11-30,3409
