clinic,day,population,encounters
11100,2006-01-31,102,17
11100,2006-03-31,114,20
11100,2006-04-30,131,53
11100,2006-06-30,188,80
11100,2006-07-31,218,101
11100,2006-09-30,274,277
11100,2006-10-31,325,342
11100,2006-12-31,374,207
11100,2007-01-31,464,646
11100,2007-03-31,638,1068
11100,2007-04-30,730,1148
11100,2007-06-30,868,1017
11100,2007-07-31,976,1488
11100,2007-09-30,1215,1441
11100,2007-10-31,1349,1596
11100,2007-12-31,1565,1626
11100,2008-01-31,1709,2157
11100,2008-03-31,1975,2393
11100,2008-04-30,2096,2571
11100,2008-06-30,2341,2975
11100,2008-07-31,2464,3371
11100,2008-09-30,2690,3388
11100,2008-10-31,2790,3686
11100,2008-12-31,3027,3766
11100,2009-01-31,3187,4659
11100,2009-03-31,3532,5199
11100,2009-04-30,3690,4917
11100,2009-05-31,3816,5521
11100,2009-06-30,3922,4750
11100,2009-07-31,3978,4771
11100,2009-08-31,4063,4189
11100,2009-09-30,4153,4542
11100,2009-10-31,4217,4448
11100,2009-11-30,4298,4272
11100,2009-12-31,4377,4260
11100,2010-01-31,4412,1519
11100,2010-02-28,4425,1441
11100,2010-03-31,4474,2522
11100,2010-04-30,4527,3359
11100,2010-05-31,4585,3394
11100,2010-06-30,4634,3372
11100,2010-07-31,4705,3931
11100,2010-08-31,4758,3608
11100,2010-09-30,4822,3874
11100,2010-10-31,4883,4054
11100,2010-11-30,4917,3326
11100,2010-12-31,4954,3415
11100,2011-01-31,5007,3792
11100,2011-02-28,5070,3504
11100,2011-03-31,5139,3891
11100,2011-04-30,5193,3482
11100,2011-05-31,5239,2718
11100,2011-06-30,5268,1878
11100,2011-07-31,5288,2173
11100,2011-08-31,5293,2127
11100,2011-09-30,5332,2242
11100,2011-10-31,5360,1629
11100,2011-11-30,5408,2565
11100,2011-12-31,5459,2357
11100,2012-01-31,5493,2759
11120,2007-06-30,1,0
11120,2007-07-31,1,0
11120,2007-09-30,1,0
11120,2007-10-31,1,0
11120,2007-12-31,1,0
11120,2008-01-31,1,0
11120,2008-03-31,1,0
11120,2008-04-30,1,0
11120,2008-06-30,1,0
11120,2008-07-31,2,0
11120,2008-09-30,1,0
11120,2008-10-31,2,0
11120,2008-12-31,2,0
11120,2009-01-31,2,0
11120,2009-03-31,2,0
11120,2009-04-30,3,2
11120,2009-05-31,8,12
11120,2009-06-30,12,51
11120,2009-07-31,27,121
11120,2009-08-31,36,149
11120,2009-09-30,49,185
11120,2009-10-31,55,245
11120,2009-11-30,67,239
11120,2009-12-31,80,293
11120,2010-01-31,86,146
11120,2010-02-28,94,148
11120,2010-03-31,116,330
11120,2010-04-30,131,272
11120,2010-05-31,159,411
11120,2010-06-30,181,476
11120,2010-07-31,200,469
11120,2010-08-31,215,404
11120,2010-09-30,222,344
11120,2010-10-31,240,321
11120,2010-11-30,256,303
11120,2010-12-31,275,406
11120,2011-01-31,289,480
11120,2011-02-28,306,474
11120,2011-03-31,311,362
11120,2011-04-30,317,348
11120,2011-05-31,355,488
11120,2011-06-30,366,202
11120,2011-07-31,370,195
11120,2011-08-31,378,278
11120,2011-09-30,393,287
11120,2011-10-31,399,158
11120,2011-11-30,414,364
11120,2011-12-31,426,305
11120,2012-01-31,437,337
11127,2006-01-31,422,476
11127,2006-03-31,508,494
11127,2006-04-30,536,404
11127,2006-06-30,618,521
11127,2006-07-31,661,474
11127,2006-09-30,724,527
11127,2006-10-31,742,512
11127,2006-12-31,840,599
11127,2007-01-31,879,661
11127,2007-03-31,972,761
11127,2007-04-30,1002,712
11127,2007-06-30,1065,796
11127,2007-07-31,1108,995
11127,2007-09-30,1197,694
11127,2007-10-31,1221,769
11127,2007-12-31,1299,802
11127,2008-01-31,1343,871
11127,2008-03-31,1438,990
11127,2008-04-30,1487,1063
11127,2008-06-30,1590,1823
11127,2008-07-31,1648,2086
11127,2008-09-30,1722,2034
11127,2008-10-31,1765,1922
11127,2008-12-31,1865,1852
11127,2009-01-31,1935,2507
11127,2009-03-31,2069,3246
11127,2009-04-30,2105,2805
11127,2009-05-31,2144,2888
11127,2009-06-30,2173,3005
11127,2009-07-31,2205,2956
11127,2009-08-31,2230,2272
11127,2009-09-30,2267,2786
11127,2009-10-31,2313,3517
11127,2009-11-30,2360,3261
11127,2009-12-31,2388,3183
11127,2010-01-31,2395,1470
11127,2010-02-28,2395,417
11127,2010-03-31,2395,1181
11127,2010-04-30,2405,1151
11127,2010-05-31,2426,2053
11127,2010-06-30,2450,2249
11127,2010-07-31,2486,2500
11127,2010-08-31,2526,1950
11127,2010-09-30,2555,2190
11127,2010-10-31,2578,2966
11127,2010-11-30,2590,2437
11127,2010-12-31,2602,1687
11127,2011-01-31,2624,2727
11127,2011-02-28,2643,2781
11127,2011-03-31,2679,3200
11127,2011-04-30,2706,3199
11127,2011-05-31,2723,3223
11127,2011-06-30,2754,3186
11127,2011-07-31,2786,3186
11127,2011-08-31,2807,2690
11127,2011-09-30,2822,2945
11127,2011-10-31,2836,2897
11127,2011-11-30,2860,2759
11127,2011-12-31,2875,2430
11127,2012-01-31,2898,3174
11155,2008-12-31,1,5
11155,2009-01-31,1,0
11155,2009-03-31,2,5
11155,2009-04-30,2,0
11155,2009-05-31,2,0
11155,2009-06-30,4,7
11155,2009-07-31,5,3
11155,2009-08-31,8,28
11155,2009-09-30,13,26
11155,2009-10-31,15,23
11155,2009-11-30,21,55
11155,2009-12-31,23,40
11155,2010-01-31,23,15
11155,2010-02-28,23,2
11155,2010-03-31,23,21
11155,2010-04-30,23,20
11155,2010-05-31,28,58
11155,2010-06-30,30,33
11155,2010-07-31,32,36
11155,2010-08-31,35,36
11155,2010-09-30,38,35
11155,2010-10-31,39,16
11155,2010-11-30,40,8
11155,2010-12-31,40,14
11155,2011-01-31,43,16
11155,2011-02-28,45,35
11155,2011-03-31,48,17
11155,2011-04-30,51,39
11155,2011-05-31,52,20
11155,2011-06-30,52,29
11155,2011-07-31,52,16
11155,2011-08-31,53,41
11155,2011-09-30,53,27
11155,2011-10-31,53,18
11155,2011-11-30,55,52
11155,2011-12-31,58,10
11155,2012-01-31,59,64
11156,2008-12-31,2,3
11156,2009-01-31,4,14
11156,2009-03-31,6,5
11156,2009-04-30,7,4
11156,2009-05-31,10,10
11156,2009-06-30,20,32
11156,2009-07-31,23,23
11156,2009-08-31,32,49
11156,2009-09-30,42,84
11156,2009-10-31,68,214
11156,2009-11-30,76,143
11156,2009-12-31,80,29
11156,2010-01-31,80,0
11156,2010-02-28,80,0
11156,2010-03-31,80,0
11156,2010-04-30,80,6
11156,2010-05-31,80,0
11156,2010-06-30,80,3
11156,2010-07-31,80,1
11156,2010-08-31,80,7
11156,2010-09-30,80,5
