clinic,status,day,population
11100,1,2006-10-31,1
11100,1,2006-12-31,2
11100,1,2007-01-31,2
11100,1,2007-03-31,2
11100,1,2007-04-30,2
11100,1,2007-06-30,2
11100,1,2007-07-31,4
11100,1,2007-09-30,5
11100,1,2007-10-31,5
11100,1,2007-12-31,5
11100,1,2008-01-31,5
11100,1,2008-03-31,7
11100,1,2008-04-30,7
11100,1,2008-06-30,9
11100,1,2008-07-31,13
11100,1,2008-09-30,16
11100,1,2008-10-31,18
11100,1,2008-12-31,20
11100,1,2009-01-31,44
11100,1,2009-03-31,46
11100,1,2009-04-30,47
11100,1,2009-05-31,145
11100,1,2009-06-30,157
11100,1,2009-07-31,167
11100,1,2009-08-31,171
11100,1,2009-09-30,173
11100,1,2009-10-31,175
11100,1,2009-11-30,175
11100,1,2009-12-31,179
11100,1,2010-01-31,181
11100,1,2010-02-28,182
11100,1,2010-03-31,184
11100,1,2010-04-30,186
11100,1,2010-05-31,187
11100,1,2010-06-30,188
11100,1,2010-07-31,272
11100,1,2010-08-31,281
11100,1,2010-09-30,282
11100,1,2010-10-31,285
11100,1,2010-11-30,285
11100,1,2010-12-31,286
11100,1,2011-01-31,286
11100,1,2011-02-28,286
11100,1,2011-03-31,286
11100,1,2011-04-30,287
11100,1,2011-05-31,289
11100,1,2011-06-30,295
11100,1,2011-07-31,300
11100,1,2011-08-31,304
11100,1,2011-09-30,310
11100,1,2011-10-31,315
11100,1,2011-11-30,320
11100,1,2011-12-31,324
11100,1,2012-01-31,324
11100,2,2006-07-31,1
11100,2,2006-09-30,9
11100,2,2006-10-31,12
11100,2,2006-12-31,11
11100,2,2007-01-31,16
11100,2,2007-03-31,31
11100,2,2007-04-30,26
11100,2,2007-06-30,20
11100,2,2007-07-31,18
11100,2,2007-09-30,7
11100,2,2007-10-31,11
11100,2,2007-12-31,25
11100,2,2008-01-31,17
11100,2,2008-03-31,43
11100,2,2008-04-30,46
11100,2,2008-06-30,44
11100,2,2008-07-31,44
11100,2,2008-09-30,29
11100,2,2008-10-31,29
11100,2,2008-12-31,37
11100,2,2009-01-31,28
11100,2,2009-03-31,47
11100,2,2009-04-30,38
11100,2,2009-05-31,45
11100,2,2009-06-30,63
11100,2,2009-07-31,41
11100,2,2009-08-31,29
11100,2,2009-09-30,33
11100,2,2009-10-31,26
11100,2,2009-11-30,21
11100,2,2009-12-31,25
11100,2,2010-01-31,1
11100,2,2010-02-28,5
11100,2,2010-03-31,18
11100,2,2010-04-30,12
11100,2,2010-05-31,15
11100,2,2010-06-30,14
11100,2,2010-07-31,13
11100,2,2010-08-31,13
11100,2,2010-09-30,26
11100,2,2010-10-31,50
11100,2,2010-11-30,30
11100,2,2010-12-31,38
11100,2,2011-01-31,44
11100,2,2011-02-28,34
11100,2,2011-03-31,37
11100,2,2011-04-30,26
11100,2,2011-05-31,26
11100,2,2011-06-30,19
11100,2,2011-07-31,10
11100,2,2011-08-31,7
11100,2,2011-09-30,12
11100,2,2011-10-31,16
11100,2,2011-11-30,33
11100,2,2011-12-31,29
11100,2,2012-01-31,25
11100,3,2006-01-31,15
11100,3,2006-03-31,8
11100,3,2006-04-30,18
11100,3,2006-06-30,30
11100,3,2006-07-31,29
11100,3,2006-09-30,30
11100,3,2006-10-31,49
11100,3,2006-12-31,2
11100,3,2007-01-31,86
11100,3,2007-03-31,86
11100,3,2007-04-30,67
11100,3,2007-06-30,44
11100,3,2007-07-31,106
11100,3,2007-09-30,110
11100,3,2007-10-31,132
11100,3,2007-12-31,99
11100,3,2008-01-31,143
11100,3,2008-03-31,112
11100,3,2008-04-30,119
11100,3,2008-06-30,118
11100,3,2008-07-31,119
11100,3,2008-09-30,126
11100,3,2008-10-31,96
11100,3,2008-12-31,137
11100,3,2009-01-31,155
11100,3,2009-03-31,189
11100,3,2009-04-30,160
11100,3,2009-05-31,124
11100,3,2009-06-30,103
11100,3,2009-07-31,55
11100,3,2009-08-31,83
11100,3,2009-09-30,94
11100,3,2009-10-31,63
11100,3,2009-11-30,80
11100,3,2009-12-31,78
11100,3,2010-01-31,28
11100,3,2010-02-28,12
11100,3,2010-03-31,47
11100,3,2010-04-30,54
11100,3,2010-05-31,56
11100,3,2010-06-30,52
11100,3,2010-07-31,68
11100,3,2010-08-31,51
11100,3,2010-09-30,71
11100,3,2010-10-31,46
11100,3,2010-11-30,28
11100,3,2010-12-31,31
11100,3,2011-01-31,42
11100,3,2011-02-28,54
