department,day,population,encounters
""1"",2006-01-31,1402,1183
""1"",2006-03-31,1695,1575
""1"",2006-04-30,1848,1451
""1"",2006-06-30,2240,1874
""1"",2006-07-31,2396,1930
""1"",2006-09-30,2787,2187
""1"",2006-10-31,2921,2602
""1"",2006-12-31,3444,3019
""1"",2007-01-31,3663,3620
""1"",2007-03-31,4461,4893
""1"",2007-04-30,4681,5066
""1"",2007-06-30,5349,5062
""1"",2007-07-31,5768,6596
""1"",2007-09-30,6795,6493
""1"",2007-10-31,7040,6936
""1"",2007-12-31,7826,6877
""1"",2008-01-31,8300,7822
""1"",2008-03-31,9219,8888
""1"",2008-04-30,9672,9613
""1"",2008-06-30,10687,11336
""1"",2008-07-31,11207,12222
""1"",2008-09-30,12461,12133
""1"",2008-10-31,12671,12952
""1"",2008-12-31,13644,12997
""1"",2009-01-31,14363,15809
""1"",2009-03-31,15555,17804
""1"",2009-04-30,16075,16916
""1"",2009-05-31,16519,17691
""1"",2009-06-30,17452,19031
""1"",2009-07-31,18027,20111
""1"",2009-08-31,18542,17274
""1"",2009-09-30,19140,19806
""1"",2009-10-31,19688,20514
""1"",2009-11-30,20172,20061
""1"",2009-12-31,20612,19911
""1"",2010-01-31,20831,8901
""1"",2010-02-28,21015,8291
""1"",2010-03-31,21358,14413
""1"",2010-04-30,21747,14993
""1"",2010-05-31,22109,15982
""1"",2010-06-30,22488,16566
""1"",2010-07-31,22878,18393
""1"",2010-08-31,23244,18016
""1"",2010-09-30,23712,19106
""1"",2010-10-31,24161,19929
""1"",2010-11-30,24456,17203
""1"",2010-12-31,24744,16969
""1"",2011-01-31,25194,20955
""1"",2011-02-28,25583,20423
""1"",2011-03-31,26078,22964
""1"",2011-04-30,26522,22526
""1"",2011-05-31,27053,25741
""1"",2011-06-30,27535,24530
""1"",2011-07-31,27962,24567
""1"",2011-08-31,28365,23928
""1"",2011-09-30,28846,23958
""1"",2011-10-31,29266,24589
""1"",2011-11-30,29718,24592
""1"",2011-12-31,30121,23798
""1"",2012-01-31,30517,24889
""2"",2006-01-31,294,285
""2"",2006-03-31,328,249
""2"",2006-04-30,348,318
""2"",2006-06-30,401,467
""2"",2006-07-31,420,349
""2"",2006-09-30,460,336
""2"",2006-10-31,486,497
""2"",2006-12-31,537,425
""2"",2007-01-31,575,604
""2"",2007-03-31,659,883
""2"",2007-04-30,709,780
""2"",2007-06-30,777,725
""2"",2007-07-31,815,836
""2"",2007-09-30,905,768
""2"",2007-10-31,931,851
""2"",2007-12-31,996,829
""2"",2008-01-31,1030,979
""2"",2008-03-31,1097,891
""2"",2008-04-30,1130,914
""2"",2008-06-30,1204,1077
""2"",2008-07-31,1252,1215
""2"",2008-09-30,1304,1034
""2"",2008-10-31,1357,1081
""2"",2008-12-31,1437,1541
""2"",2009-01-31,1481,1517
""2"",2009-03-31,1567,1808
""2"",2009-04-30,1600,1737
""2"",2009-05-31,1650,1676
""2"",2009-06-30,1707,1875
""2"",2009-07-31,1752,2146
""2"",2009-08-31,1790,1872
""2"",2009-09-30,1827,1958
""2"",2009-10-31,1882,2146
""2"",2009-11-30,1909,1775
""2"",2009-12-31,1944,1737
""2"",2010-01-31,1965,1278
