encounter,day,encounters
1,2006-01-31,414
1,2006-02-28,301
1,2006-03-31,551
1,2006-04-30,466
1,2006-05-31,547
1,2006-06-30,662
1,2006-07-31,627
1,2006-08-31,624
1,2006-09-30,621
1,2006-10-31,656
1,2006-11-30,699
1,2006-12-31,618
1,2007-01-31,757
1,2007-02-28,694
1,2007-03-31,998
1,2007-04-30,902
1,2007-05-31,1000
1,2007-06-30,927
1,2007-07-31,1064
1,2007-08-31,1057
1,2007-09-30,915
1,2007-10-31,990
1,2007-11-30,1036
1,2007-12-31,843
1,2008-01-31,1015
1,2008-02-29,995
1,2008-03-31,1024
1,2008-04-30,1025
1,2008-05-31,1058
1,2008-06-30,1207
1,2008-07-31,1258
1,2008-08-31,958
1,2008-09-30,1010
1,2008-10-31,1101
1,2008-11-30,938
1,2008-12-31,1089
1,2009-01-31,1272
1,2009-02-28,1002
1,2009-03-31,1353
1,2009-04-30,1103
1,2009-05-31,937
1,2009-06-30,1107
1,2009-07-31,1159
1,2009-08-31,994
1,2009-09-30,1136
1,2009-10-31,1025
1,2009-11-30,917
1,2009-12-31,798
1,2010-01-31,544
1,2010-02-28,576
1,2010-03-31,935
1,2010-04-30,972
1,2010-05-31,848
1,2010-06-30,859
1,2010-07-31,898
1,2010-08-31,859
1,2010-09-30,930
1,2010-10-31,849
1,2010-11-30,590
1,2010-12-31,605
1,2011-01-31,795
1,2011-02-28,804
1,2011-03-31,940
1,2011-04-30,877
1,2011-05-31,1019
1,2011-06-30,880
1,2011-07-31,886
1,2011-08-31,774
1,2011-09-30,873
1,2011-10-31,818
1,2011-11-30,880
1,2011-12-31,769
1,2012-01-31,797
1,2012-02-29,629
1,2012-03-31,7
2,2006-01-31,1809
2,2006-02-28,1461
2,2006-03-31,2240
2,2006-04-30,2164
2,2006-05-31,2496
2,2006-06-30,2844
2,2006-07-31,3032
2,2006-08-31,3286
2,2006-09-30,3144
2,2006-10-31,3386
2,2006-11-30,3918
2,2006-12-31,3996
2,2007-01-31,4616
2,2007-02-28,4208
2,2007-03-31,4842
2,2007-04-30,4863
2,2007-05-31,5570
2,2007-06-30,5278
2,2007-07-31,5842
2,2007-08-31,5800
2,2007-09-30,5631
2,2007-10-31,6274
2,2007-11-30,6555
2,2007-12-31,5896
2,2008-01-31,7234
2,2008-02-29,6962
2,2008-03-31,7476
2,2008-04-30,8069
2,2008-05-31,8075
2,2008-06-30,7959
2,2008-07-31,8486
2,2008-08-31,7453
2,2008-09-30,8268
2,2008-10-31,8472
2,2008-11-30,7758
2,2008-12-31,8869
2,2009-01-31,9305
2,2009-02-28,8958
2,2009-03-31,11388
2,2009-04-30,11136
2,2009-05-31,10977
2,2009-06-30,11398
2,2009-07-31,12170
2,2009-08-31,11084
2,2009-09-30,12047
2,2009-10-31,12369
2,2009-11-30,11878
2,2009-12-31,11714
2,2010-01-31,7560
2,2010-02-28,7723
2,2010-03-31,10913
2,2010-04-30,11281
2,2010-05-31,11419
2,2010-06-30,11227
2,2010-07-31,11601
2,2010-08-31,11493
2,2010-09-30,11604
2,2010-10-31,12135
2,2010-11-30,10542
2,2010-12-31,10903
2,2011-01-31,12170
2,2011-02-28,11665
2,2011-03-31,13315
2,2011-04-30,12069
2,2011-05-31,13294
2,2011-06-30,12948
2,2011-07-31,13313
2,2011-08-31,13795
2,2011-09-30,13170
2,2011-10-31,12965
2,2011-11-30,13905
2,2011-12-31,13712
2,2012-01-31,14140
2,2012-02-29,11712
2,2012-03-31,193
3,2006-01-31,12
3,2006-02-28,20
3,2006-03-31,90
3,2006-04-30,139
3,2006-05-31,166
3,2006-06-30,217
3,2006-07-31,236
3,2006-08-31,240
3,2006-09-30,268
3,2006-10-31,299
3,2006-11-30,275
3,2006-12-31,233
3,2007-01-31,329
3,2007-02-28,272
3,2007-03-31,352
3,2007-04-30,418
3,2007-05-31,425
3,2007-06-30,333
3,2007-07-31,451
3,2007-08-31,413
3,2007-09-30,345
3,2007-10-31,419
3,2007-11-30,479
3,2007-12-31,398
3,2008-01-31,472
3,2008-02-29,453
3,2008-03-31,433
3,2008-04-30,431
3,2008-05-31,533
3,2008-06-30,632
3,2008-07-31,618
3,2008-08-31,493
3,2008-09-30,487
3,2008-10-31,503
3,2008-11-30,449
3,2008-12-31,528
3,2009-01-31,761
3,2009-02-28,514
3,2009-03-31,699
3,2009-04-30,568
3,2009-05-31,455
3,2009-06-30,574
3,2009-07-31,602
3,2009-08-31,581
3,2009-09-30,593
3,2009-10-31,597
3,2009-11-30,480
3,2009-12-31,369
3,2010-01-31,227
3,2010-02-28,213
3,2010-03-31,462
3,2010-04-30,521
3,2010-05-31,601
3,2010-06-30,593
3,2010-07-31,623
3,2010-08-31,603
3,2010-09-30,592
3,2010-10-31,530
3,2010-11-30,354
3,2010-12-31,340
3,2011-01-31,463
3,2011-02-28,509
3,2011-03-31,636
3,2011-04-30,596
3,2011-05-31,695
3,2011-06-30,552
3,2011-07-31,538
3,2011-08-31,503
3,2011-09-30,495
3,2011-10-31,480
3,2011-11-30,514
3,2011-12-31,370
3,2012-01-31,467
3,2012-02-29,429
3,2012-03-31,2
4,2006-01-31,8
4,2006-02-28,8
4,2006-03-31,35
4,2006-04-30,84
4,2006-05-31,92
