hiv,day,population
,2006-01-31,0
,2006-04-30,0
,2006-07-31,0
,2006-10-31,0
,2007-01-31,0
,2007-04-30,0
,2007-06-30,0
,2007-07-31,0
,2007-09-30,0
,2007-10-31,0
,2007-12-31,0
,2008-01-31,0
,2008-03-31,0
,2008-04-30,0
,2008-06-30,0
,2008-07-31,0
,2008-09-30,0
,2008-10-31,0
,2008-12-31,0
,2009-01-31,0
,2009-03-31,0
,2009-04-30,0
,2009-05-31,0
,2009-06-30,0
,2009-07-31,0
,2009-08-31,1
,2009-09-30,0
,2009-10-31,0
,2009-11-30,0
,2009-12-31,0
0,2007-06-30,1
0,2007-07-31,1
0,2007-10-31,1
0,2007-12-31,1
0,2008-01-31,1
0,2008-03-31,1
0,2008-04-30,1
0,2008-06-30,1
0,2008-07-31,1
0,2008-10-31,1
0,2008-12-31,1
0,2009-01-31,2
0,2009-03-31,2
0,2009-04-30,2
0,2009-05-31,2
0,2009-06-30,2
0,2009-07-31,2
0,2009-08-31,1
0,2009-09-30,1
0,2009-10-31,1
0,2009-11-30,1
1,2006-01-31,5374
1,2006-03-31,6422
1,2006-04-30,6857
1,2006-06-30,8228
1,2006-07-31,8797
1,2006-09-30,10163
1,2006-10-31,10675
1,2006-12-31,12064
1,2007-01-31,12782
1,2007-03-31,14729
1,2007-04-30,15480
1,2007-06-30,17427
1,2007-07-31,18535
1,2007-09-30,20745
1,2007-10-31,21529
1,2007-12-31,23446
1,2008-01-31,24622
1,2008-03-31,26742
1,2008-04-30,27807
1,2008-06-30,30122
1,2008-07-31,31429
1,2008-09-30,33956
1,2008-10-31,34677
1,2008-12-31,36799
1,2009-01-31,38176
1,2009-03-31,40715
1,2009-04-30,41951
1,2009-05-31,43020
1,2009-06-30,44724
1,2009-07-31,46081
1,2009-08-31,47227
1,2009-09-30,48529
1,2009-10-31,49685
1,2009-11-30,50749
1,2009-12-31,51808
1,2010-01-31,52550
1,2010-02-28,53230
1,2010-03-31,54288
1,2010-04-30,55335
1,2010-05-31,56242
1,2010-06-30,57156
1,2010-07-31,58104
1,2010-08-31,59044
1,2010-09-30,60108
1,2010-10-31,61068
1,2010-11-30,61736
1,2010-12-31,62370
1,2011-01-31,63278
1,2011-02-28,64186
1,2011-03-31,65233
1,2011-04-30,66201
1,2011-05-31,67311
1,2011-06-30,68307
1,2011-07-31,69265
1,2011-08-31,70137
1,2011-09-30,71145
1,2011-10-31,72140
1,2011-11-30,73153
1,2011-12-31,73986
1,2012-01-31,74840
