sex,hiv,day,population
,,2006-01-31,0
,,2006-04-30,0
,,2006-07-31,0
,,2006-10-31,0
,,2007-01-31,0
,,2007-04-30,0
,,2007-06-30,0
,,2007-07-31,0
,,2007-09-30,0
,,2007-10-31,0
,,2007-12-31,0
,,2008-01-31,0
,,2008-03-31,0
,,2008-04-30,0
,,2008-06-30,0
,,2008-07-31,0
,,2008-09-30,0
,,2008-10-31,0
,,2008-12-31,0
,,2009-01-31,0
,,2009-03-31,0
,,2009-04-30,0
,,2009-05-31,0
,,2009-06-30,0
,,2009-07-31,0
,,2009-08-31,0
,,2009-09-30,0
,,2009-10-31,0
,,2009-11-30,0
,,2009-12-31,0
,1,2006-01-31,1
,1,2006-03-31,1
,1,2006-04-30,1
,1,2006-06-30,1
,1,2006-07-31,1
,1,2006-09-30,1
,1,2006-10-31,1
,1,2006-12-31,2
,1,2007-01-31,1
,1,2007-03-31,2
,1,2007-04-30,1
,1,2007-06-30,1
,1,2007-07-31,2
,1,2007-09-30,4
,1,2007-10-31,3
,1,2007-12-31,4
,1,2008-01-31,4
,1,2008-03-31,6
,1,2008-04-30,7
,1,2008-06-30,9
,1,2008-07-31,12
,1,2008-09-30,17
,1,2008-10-31,13
,1,2008-12-31,15
,1,2009-01-31,17
,1,2009-03-31,17
,1,2009-04-30,17
,1,2009-05-31,22
,1,2009-06-30,23
,1,2009-07-31,26
,1,2009-08-31,28
,1,2009-09-30,30
,1,2009-10-31,31
,1,2009-11-30,34
,1,2009-12-31,35
,1,2010-01-31,39
,1,2010-02-28,41
,1,2010-03-31,43
,1,2010-04-30,54
,1,2010-05-31,57
,1,2010-06-30,62
,1,2010-07-31,68
,1,2010-08-31,71
,1,2010-09-30,75
,1,2010-10-31,85
,1,2010-11-30,90
,1,2010-12-31,93
,1,2011-01-31,97
,1,2011-02-28,102
,1,2011-03-31,111
,1,2011-04-30,117
,1,2011-05-31,126
,1,2011-06-30,132
,1,2011-07-31,137
,1,2011-08-31,144
,1,2011-09-30,153
,1,2011-10-31,164
,1,2011-11-30,182
,1,2011-12-31,213
,1,2012-01-31,238
0,1,2006-06-30,1
0,1,2006-07-31,4
0,1,2006-09-30,12
0,1,2006-10-31,12
0,1,2006-12-31,22
0,1,2007-01-31,22
0,1,2007-03-31,22
0,1,2007-04-30,23
0,1,2007-06-30,23
0,1,2007-07-31,23
0,1,2007-09-30,24
0,1,2007-10-31,25
0,1,2007-12-31,25
0,1,2008-01-31,25
0,1,2008-03-31,26
0,1,2008-04-30,26
0,1,2008-06-30,26
0,1,2008-07-31,26
0,1,2008-09-30,26
0,1,2008-10-31,26
0,1,2008-12-31,28
0,1,2009-01-31,29
0,1,2009-03-31,29
0,1,2009-04-30,29
