sex,day,population
,2006-01-31,1
,2006-03-31,1
,2006-04-30,1
,2006-06-30,1
,2006-07-31,1
,2006-09-30,1
,2006-10-31,1
,2006-12-31,2
,2007-01-31,1
,2007-03-31,2
,2007-04-30,1
,2007-06-30,1
,2007-07-31,2
,2007-09-30,4
,2007-10-31,3
,2007-12-31,4
,2008-01-31,4
,2008-03-31,6
,2008-04-30,7
,2008-06-30,9
,2008-07-31,12
,2008-09-30,17
,2008-10-31,13
,2008-12-31,15
,2009-01-31,17
,2009-03-31,17
,2009-04-30,17
,2009-05-31,22
,2009-06-30,23
,2009-07-31,26
,2009-08-31,28
,2009-09-30,30
,2009-10-31,31
,2009-11-30,34
,2009-12-31,35
,2010-01-31,39
,2010-02-28,41
,2010-03-31,43
,2010-04-30,54
,2010-05-31,57
,2010-06-30,62
,2010-07-31,68
,2010-08-31,71
,2010-09-30,75
,2010-10-31,85
,2010-11-30,90
,2010-12-31,93
,2011-01-31,97
,2011-02-28,102
,2011-03-31,111
,2011-04-30,117
,2011-05-31,126
,2011-06-30,132
,2011-07-31,137
,2011-08-31,144
,2011-09-30,153
,2011-10-31,164
,2011-11-30,182
,2011-12-31,213
,2012-01-31,238
0,2006-06-30,1
0,2006-07-31,4
0,2006-09-30,12
0,2006-10-31,12
0,2006-12-31,22
0,2007-01-31,22
0,2007-03-31,22
0,2007-04-30,23
0,2007-06-30,23
0,2007-07-31,23
0,2007-09-30,24
0,2007-10-31,25
0,2007-12-31,25
0,2008-01-31,25
0,2008-03-31,26
0,2008-04-30,26
0,2008-06-30,26
0,2008-07-31,26
0,2008-09-30,26
0,2008-10-31,26
0,2008-12-31,28
0,2009-01-31,29
0,2009-03-31,29
0,2009-04-30,29
0,2009-05-31,29
0,2009-06-30,30
0,2009-07-31,30
0,2009-08-31,30
0,2009-09-30,30
0,2009-10-31,29
0,2009-11-30,29
0,2009-12-31,34
0,2010-01-31,36
0,2010-02-28,36
0,2010-03-31,36
0,2010-04-30,38
0,2010-05-31,38
0,2010-06-30,38
0,2010-07-31,39
0,2010-08-31,40
0,2010-09-30,41
0,2010-10-31,41
0,2010-11-30,41
0,2010-12-31,41
0,2011-01-31,41
0,2011-02-28,41
0,2011-03-31,41
0,2011-04-30,41
0,2011-05-31,41
0,2011-06-30,42
0,2011-07-31,42
0,2011-08-31,42
0,2011-09-30,42
0,2011-10-31,45
0,2011-11-30,46
0,2011-12-31,46
0,2012-01-31,46
1,2006-01-31,3291
1,2006-03-31,3957
1,2006-04-30,4237
1,2006-06-30,5079
1,2006-07-31,5436
1,2006-09-30,6265
1,2006-10-31,6592
1,2006-12-31,7439
1,2007-01-31,7872
1,2007-03-31,9097
1,2007-04-30,9547
1,2007-06-30,10802
1,2007-07-31,11485
1,2007-09-30,12895
1,2007-10-31,13394
1,2007-12-31,14608
1,2008-01-31,15386
1,2008-03-31,16772
1,2008-04-30,17445
1,2008-06-30,18993
1,2008-07-31,19835
1,2008-09-30,21447
1,2008-10-31,21905
1,2008-12-31,23278
1,2009-01-31,24195
1,2009-03-31,25809
1,2009-04-30,26601
1,2009-05-31,27259
1,2009-06-30,28349
1,2009-07-31,29195
1,2009-08-31,29941
1,2009-09-30,30789
1,2009-10-31,31522
1,2009-11-30,32211
1,2009-12-31,32812
1,2010-01-31,33243
1,2010-02-28,33657
1,2010-03-31,34308
1,2010-04-30,34980
1,2010-05-31,35530
1,2010-06-30,36136
1,2010-07-31,36705
1,2010-08-31,37272
1,2010-09-30,37925
1,2010-10-31,38501
1,2010-11-30,38892
1,2010-12-31,39286
1,2011-01-31,39819
1,2011-02-28,40382
1,2011-03-31,41043
1,2011-04-30,41641
1,2011-05-31,42350
1,2011-06-30,42994
1,2011-07-31,43590
1,2011-08-31,44122
1,2011-09-30,44744
1,2011-10-31,45346
1,2011-11-30,45941
1,2011-12-31,46420
1,2012-01-31,46928
2,2006-01-31,2082
2,2006-03-31,2464
2,2006-04-30,2619
2,2006-06-30,3147
2,2006-07-31,3356
2,2006-09-30,3885
2,2006-10-31,4070
2,2006-12-31,4601
2,2007-01-31,4887
2,2007-03-31,5608
2,2007-04-30,5909
2,2007-06-30,6602
2,2007-07-31,7026
2,2007-09-30,7822
2,2007-10-31,8108
2,2007-12-31,8810
2,2008-01-31,9208
2,2008-03-31,9939
2,2008-04-30,10330
2,2008-06-30,11095
2,2008-07-31,11557
2,2008-09-30,12466
2,2008-10-31,12734
2,2008-12-31,13479
2,2009-01-31,13937
2,2009-03-31,14862
2,2009-04-30,15306
2,2009-05-31,15712
2,2009-06-30,16324
2,2009-07-31,16832
2,2009-08-31,17230
2,2009-09-30,17681
2,2009-10-31,18104
2,2009-11-30,18476
2,2009-12-31,18927
2,2010-01-31,19232
2,2010-02-28,19496
2,2010-03-31,19901
2,2010-04-30,20263
2,2010-05-31,20617
2,2010-06-30,20920
2,2010-07-31,21292
2,2010-08-31,21661
2,2010-09-30,22067
2,2010-10-31,22441
2,2010-11-30,22713
2,2010-12-31,22950
2,2011-01-31,23321
2,2011-02-28,23661
2,2011-03-31,24038
2,2011-04-30,24402
2,2011-05-31,24794
2,2011-06-30,25139
2,2011-07-31,25496
2,2011-08-31,25829
2,2011-09-30,26206
2,2011-10-31,26585
2,2011-11-30,26984
2,2011-12-31,27307
2,2012-01-31,27628
