date,population,department,patientStatus
2012-06-05,1722,1,
2012-06-05,612,1,1
2012-06-05,3905,1,10
2012-06-05,2,1,4
2012-06-05,4,1,5
2012-06-05,1,1,6
2012-06-05,6,1,7
2012-06-05,2655,1,8
2012-06-05,2545,1,9
2012-06-05,624,10,
2012-06-05,2,10,10
2012-06-05,221,2,
2012-06-05,1011,3,
2012-06-05,808,3,1
2012-06-05,902,3,10
2012-06-05,300,3,5
2012-06-05,1,3,7
2012-06-05,1300,3,8
2012-06-05,2487,3,9
2012-06-05,257,4,
2012-06-05,205,5,
2012-06-05,6882,7,
2012-06-05,1380,8,
2012-06-05,1694,9,
