date,population,clinic,sex,patientStatus
2012-06-05,20,11100,,
2012-06-05,2,11100,,10
2012-06-05,1,11100,,7
2012-06-05,2,11100,,8
2012-06-05,2,11100,0,10
2012-06-05,121,11100,1,
2012-06-05,176,11100,1,1
2012-06-05,1216,11100,1,10
2012-06-05,2,11100,1,4
2012-06-05,2,11100,1,5
2012-06-05,1,11100,1,6
2012-06-05,2,11100,1,7
2012-06-05,740,11100,1,8
2012-06-05,1155,11100,1,9
2012-06-05,70,11100,2,
2012-06-05,145,11100,2,1
2012-06-05,644,11100,2,10
2012-06-05,1,11100,2,5
2012-06-05,1,11100,2,7
2012-06-05,497,11100,2,8
2012-06-05,608,11100,2,9
2012-06-05,3,11151,1,
2012-06-05,7,11156,1,
2012-06-05,3,11208,,10
2012-06-05,1,11208,,8
2012-06-05,3,11208,1,
2012-06-05,177,11208,1,1
2012-06-05,1238,11208,1,10
2012-06-05,862,11208,1,8
2012-06-05,524,11208,1,9
2012-06-05,5,11208,2,
2012-06-05,114,11208,2,1
2012-06-05,790,11208,2,10
2012-06-05,553,11208,2,8
2012-06-05,258,11208,2,9
2012-06-05,5,11217,0,
2012-06-05,265,11217,1,
2012-06-05,49,11217,2,
2012-06-05,4,11303,0,
2012-06-05,506,11303,1,
2012-06-05,7,11303,1,10
2012-06-05,1,11303,1,5
2012-06-05,2,11303,1,7
2012-06-05,169,11303,2,
2012-06-05,3,11303,2,10
2012-06-05,1,11316,0,
2012-06-05,7,11316,1,
2012-06-05,6,11316,2,
2012-06-05,1,11423,0,
2012-06-05,8,11423,1,
2012-06-05,4,11423,2,
2012-06-05,3,12108,0,
2012-06-05,12,12108,1,
2012-06-05,11,12108,2,
2012-06-05,125,12201,1,
2012-06-05,50,12201,2,
2012-06-05,5,14103,0,
2012-06-05,33,14103,1,
2012-06-05,17,14103,2,
2012-06-05,4,15103,0,
2012-06-05,145,15103,1,
2012-06-05,63,15103,2,
2012-06-05,1,21100,1,
2012-06-05,1,21201,0,
2012-06-05,24,21201,1,
2012-06-05,15,21201,2,
2012-06-05,39,21401,1,
2012-06-05,32,21401,2,
2012-06-05,9,22101,0,
2012-06-05,70,22101,1,
2012-06-05,30,22101,2,
2012-06-05,1,31100,,10
2012-06-05,10,31100,1,
2012-06-05,449,31100,1,1
2012-06-05,401,31100,1,10
2012-06-05,771,31100,1,8
2012-06-05,1283,31100,1,9
2012-06-05,6,31100,2,
2012-06-05,357,31100,2,1
2012-06-05,208,31100,2,10
2012-06-05,461,31100,2,8
2012-06-05,852,31100,2,9
2012-06-05,1,31101,,
2012-06-05,355,31101,1,
2012-06-05,1,31101,1,10
2012-06-05,80,31101,2,
2012-06-05,2,31102,,
2012-06-05,14,31102,1,
2012-06-05,2,31102,1,1
2012-06-05,214,31102,1,10
2012-06-05,208,31102,1,5
2012-06-05,1,31102,1,7
2012-06-05,49,31102,1,8
2012-06-05,231,31102,1,9
2012-06-05,5,31102,2,
2012-06-05,77,31102,2,10
2012-06-05,92,31102,2,5
2012-06-05,19,31102,2,8
2012-06-05,121,31102,2,9
2012-06-05,1,32205,0,
2012-06-05,49,32205,1,
2012-06-05,35,32205,2,
2012-06-05,4,32207,1,
2012-06-05,8,32207,2,
2012-06-05,8,32301,0,
2012-06-05,61,32301,1,
2012-06-05,31,32301,2,
2012-06-05,1,33101,0,
2012-06-05,18,33101,1,
2012-06-05,8,33101,2,
2012-06-05,4,34401,1,
2012-06-05,3,34401,2,
2012-06-05,1,35101,0,
2012-06-05,130,35101,1,
2012-06-05,75,35101,2,
2012-06-05,4,36101,1,
2012-06-05,8,36101,2,
2012-06-05,12,37201,0,
2012-06-05,41,37201,1,
2012-06-05,36,37201,2,
2012-06-05,1,41100,0,
2012-06-05,111,41100,1,
2012-06-05,44,41100,2,
2012-06-05,64,41201,1,
2012-06-05,37,41201,2,
2012-06-05,102,52101,1,
2012-06-05,90,52101,2,
2012-06-05,5,53108,1,
2012-06-05,5,53108,2,
2012-06-05,3,53201,1,
2012-06-05,6081,71100,1,
2012-06-05,81,71401,1,
2012-06-05,23,71401,2,
2012-06-05,211,72101,1,
2012-06-05,127,72101,2,
2012-06-05,20,73101,0,
2012-06-05,38,73101,1,
2012-06-05,23,73101,2,
2012-06-05,118,73103,1,
2012-06-05,97,73103,2,
2012-06-05,32,73301,1,
2012-06-05,31,73301,2,
2012-06-05,1,81100,0,
2012-06-05,716,81100,1,
2012-06-05,448,81100,2,
2012-06-05,106,82201,1,
2012-06-05,56,82201,2,
2012-06-05,4,83401,0,
2012-06-05,31,83401,1,
2012-06-05,18,83401,2,
2012-06-05,1,84100,,
2012-06-05,38,84100,0,
2012-06-05,365,84100,1,
2012-06-05,1,84100,1,10
2012-06-05,220,84100,2,
2012-06-05,1,84100,2,10
2012-06-05,22,91100,0,
2012-06-05,316,91100,1,
2012-06-05,168,91100,2,
2012-06-05,44,91114,0,
2012-06-05,499,91114,1,
2012-06-05,247,91114,2,
2012-06-05,9,93301,0,
2012-06-05,157,93301,1,
2012-06-05,90,93301,2,
2012-06-05,86,93401,1,
2012-06-05,56,93401,2,
