date,population,clinic,sex,pregnant
2012-06-05,25,11100,,0
2012-06-05,2,11100,0,0
2012-06-05,3413,11100,1,0
2012-06-05,2,11100,1,1
2012-06-05,1966,11100,2,0
2012-06-05,3,11151,1,0
2012-06-05,7,11156,1,0
2012-06-05,4,11208,,0
2012-06-05,2804,11208,1,0
2012-06-05,1720,11208,2,0
2012-06-05,5,11217,0,0
2012-06-05,265,11217,1,0
2012-06-05,49,11217,2,0
2012-06-05,4,11303,0,0
2012-06-05,516,11303,1,0
2012-06-05,172,11303,2,0
2012-06-05,1,11316,0,0
2012-06-05,7,11316,1,0
2012-06-05,6,11316,2,0
2012-06-05,1,11423,0,0
2012-06-05,8,11423,1,0
2012-06-05,4,11423,2,0
2012-06-05,3,12108,0,0
2012-06-05,12,12108,1,0
2012-06-05,11,12108,2,0
2012-06-05,125,12201,1,0
2012-06-05,50,12201,2,0
2012-06-05,5,14103,0,0
2012-06-05,33,14103,1,0
2012-06-05,17,14103,2,0
2012-06-05,4,15103,0,0
2012-06-05,145,15103,1,0
2012-06-05,63,15103,2,0
2012-06-05,1,21100,1,0
2012-06-05,1,21201,0,0
2012-06-05,24,21201,1,0
2012-06-05,15,21201,2,0
2012-06-05,39,21401,1,0
2012-06-05,32,21401,2,0
2012-06-05,9,22101,0,0
2012-06-05,70,22101,1,0
2012-06-05,30,22101,2,0
2012-06-05,1,31100,,0
2012-06-05,2914,31100,1,0
2012-06-05,1884,31100,2,0
2012-06-05,1,31101,,0
2012-06-05,356,31101,1,0
2012-06-05,80,31101,2,0
2012-06-05,2,31102,,0
2012-06-05,713,31102,1,0
2012-06-05,6,31102,1,1
2012-06-05,314,31102,2,0
2012-06-05,1,32205,0,0
2012-06-05,49,32205,1,0
2012-06-05,35,32205,2,0
2012-06-05,4,32207,1,0
2012-06-05,8,32207,2,0
2012-06-05,8,32301,0,0
2012-06-05,61,32301,1,0
2012-06-05,31,32301,2,0
2012-06-05,1,33101,0,0
2012-06-05,18,33101,1,0
2012-06-05,8,33101,2,0
2012-06-05,4,34401,1,0
2012-06-05,3,34401,2,0
2012-06-05,1,35101,0,0
2012-06-05,130,35101,1,0
2012-06-05,75,35101,2,0
2012-06-05,4,36101,1,0
2012-06-05,8,36101,2,0
2012-06-05,12,37201,0,0
2012-06-05,41,37201,1,0
2012-06-05,36,37201,2,0
2012-06-05,1,41100,0,0
2012-06-05,111,41100,1,0
2012-06-05,44,41100,2,0
2012-06-05,64,41201,1,0
2012-06-05,37,41201,2,0
2012-06-05,102,52101,1,0
2012-06-05,90,52101,2,0
2012-06-05,5,53108,1,0
2012-06-05,5,53108,2,0
2012-06-05,3,53201,1,0
2012-06-05,6081,71100,1,0
2012-06-05,81,71401,1,0
2012-06-05,23,71401,2,0
2012-06-05,211,72101,1,0
2012-06-05,127,72101,2,0
2012-06-05,20,73101,0,0
2012-06-05,38,73101,1,0
2012-06-05,23,73101,2,0
2012-06-05,118,73103,1,0
2012-06-05,97,73103,2,0
2012-06-05,32,73301,1,0
2012-06-05,31,73301,2,0
2012-06-05,1,81100,0,0
2012-06-05,716,81100,1,0
2012-06-05,448,81100,2,0
2012-06-05,106,82201,1,0
2012-06-05,56,82201,2,0
2012-06-05,4,83401,0,0
2012-06-05,31,83401,1,0
2012-06-05,18,83401,2,0
2012-06-05,1,84100,,0
2012-06-05,38,84100,0,0
2012-06-05,366,84100,1,0
2012-06-05,221,84100,2,0
2012-06-05,22,91100,0,0
2012-06-05,316,91100,1,0
2012-06-05,168,91100,2,0
2012-06-05,44,91114,0,0
2012-06-05,499,91114,1,0
2012-06-05,247,91114,2,0
2012-06-05,9,93301,0,0
2012-06-05,157,93301,1,0
2012-06-05,90,93301,2,0
2012-06-05,86,93401,1,0
2012-06-05,56,93401,2,0
