date,population,clinic
2012-06-05,5408,11100
2012-06-05,3,11151
2012-06-05,7,11156
2012-06-05,4528,11208
2012-06-05,319,11217
2012-06-05,692,11303
2012-06-05,14,11316
2012-06-05,13,11423
2012-06-05,26,12108
2012-06-05,175,12201
2012-06-05,55,14103
2012-06-05,212,15103
2012-06-05,1,21100
2012-06-05,40,21201
2012-06-05,71,21401
2012-06-05,109,22101
2012-06-05,4799,31100
2012-06-05,437,31101
2012-06-05,1035,31102
2012-06-05,85,32205
2012-06-05,12,32207
2012-06-05,100,32301
2012-06-05,27,33101
2012-06-05,7,34401
2012-06-05,206,35101
2012-06-05,12,36101
2012-06-05,89,37201
2012-06-05,156,41100
2012-06-05,101,41201
2012-06-05,192,52101
2012-06-05,10,53108
2012-06-05,3,53201
2012-06-05,6081,71100
2012-06-05,104,71401
2012-06-05,338,72101
2012-06-05,81,73101
2012-06-05,215,73103
2012-06-05,63,73301
2012-06-05,1165,81100
2012-06-05,162,82201
2012-06-05,53,83401
2012-06-05,626,84100
2012-06-05,506,91100
2012-06-05,790,91114
2012-06-05,256,93301
2012-06-05,142,93401
