date,population,department,patientStatus,pregnant
2012-06-05,1722,1,,0
2012-06-05,612,1,1,0
2012-06-05,3905,1,10,0
2012-06-05,2,1,4,0
2012-06-05,4,1,5,0
2012-06-05,1,1,6,0
2012-06-05,5,1,7,0
2012-06-05,1,1,7,1
2012-06-05,2654,1,8,0
2012-06-05,1,1,8,1
2012-06-05,2545,1,9,0
2012-06-05,624,10,,0
2012-06-05,2,10,10,0
2012-06-05,221,2,,0
2012-06-05,1011,3,,0
2012-06-05,808,3,1,0
2012-06-05,899,3,10,0
2012-06-05,3,3,10,1
2012-06-05,299,3,5,0
2012-06-05,1,3,5,1
2012-06-05,1,3,7,0
2012-06-05,1298,3,8,0
2012-06-05,2,3,8,1
2012-06-05,2487,3,9,0
2012-06-05,257,4,,0
2012-06-05,205,5,,0
2012-06-05,6882,7,,0
2012-06-05,1380,8,,0
2012-06-05,1694,9,,0
