date,population,sex,patientStatus,pregnant
2012-06-05,24,,,0
2012-06-05,6,,10,0
2012-06-05,1,,7,0
2012-06-05,3,,8,0
2012-06-05,195,0,,0
2012-06-05,2,0,10,0
2012-06-05,11181,1,,0
2012-06-05,804,1,1,0
2012-06-05,3075,1,10,0
2012-06-05,3,1,10,1
2012-06-05,2,1,4,0
2012-06-05,210,1,5,0
2012-06-05,1,1,5,1
2012-06-05,1,1,6,0
2012-06-05,4,1,7,0
2012-06-05,1,1,7,1
2012-06-05,2419,1,8,0
2012-06-05,3,1,8,1
2012-06-05,3193,1,9,0
2012-06-05,2596,2,,0
2012-06-05,616,2,1,0
2012-06-05,1723,2,10,0
2012-06-05,93,2,5,0
2012-06-05,1,2,7,0
2012-06-05,1530,2,8,0
2012-06-05,1839,2,9,0
