date,population,department,sex,patientStatus,pregnant
2012-06-05,20,1,,,0
2012-06-05,5,1,,10,0
2012-06-05,1,1,,7,0
2012-06-05,3,1,,8,0
2012-06-05,23,1,0,,0
2012-06-05,2,1,0,10,0
2012-06-05,1235,1,1,,0
2012-06-05,353,1,1,1,0
2012-06-05,2461,1,1,10,0
2012-06-05,2,1,1,4,0
2012-06-05,3,1,1,5,0
2012-06-05,1,1,1,6,0
2012-06-05,3,1,1,7,0
2012-06-05,1,1,1,7,1
2012-06-05,1601,1,1,8,0
2012-06-05,1,1,1,8,1
2012-06-05,1679,1,1,9,0
2012-06-05,444,1,2,,0
2012-06-05,259,1,2,1,0
2012-06-05,1437,1,2,10,0
2012-06-05,1,1,2,5,0
2012-06-05,1,1,2,7,0
2012-06-05,1050,1,2,8,0
2012-06-05,866,1,2,9,0
2012-06-05,1,10,,,0
2012-06-05,38,10,0,,0
2012-06-05,365,10,1,,0
2012-06-05,1,10,1,10,0
2012-06-05,220,10,2,,0
2012-06-05,1,10,2,10,0
2012-06-05,10,2,0,,0
2012-06-05,134,2,1,,0
2012-06-05,77,2,2,,0
2012-06-05,3,3,,,0
2012-06-05,1,3,,10,0
2012-06-05,23,3,0,,0
2012-06-05,690,3,1,,0
2012-06-05,451,3,1,1,0
2012-06-05,613,3,1,10,0
2012-06-05,3,3,1,10,1
2012-06-05,207,3,1,5,0
2012-06-05,1,3,1,5,1
2012-06-05,1,3,1,7,0
2012-06-05,818,3,1,8,0
2012-06-05,2,3,1,8,1
2012-06-05,1514,3,1,9,0
2012-06-05,295,3,2,,0
2012-06-05,357,3,2,1,0
2012-06-05,285,3,2,10,0
2012-06-05,92,3,2,5,0
2012-06-05,480,3,2,8,0
2012-06-05,973,3,2,9,0
2012-06-05,1,4,0,,0
2012-06-05,175,4,1,,0
2012-06-05,81,4,2,,0
2012-06-05,110,5,1,,0
2012-06-05,95,5,2,,0
2012-06-05,20,7,0,,0
2012-06-05,6561,7,1,,0
2012-06-05,301,7,2,,0
2012-06-05,5,8,0,,0
2012-06-05,853,8,1,,0
2012-06-05,522,8,2,,0
2012-06-05,75,9,0,,0
2012-06-05,1058,9,1,,0
2012-06-05,561,9,2,,0
