clinic,name,department,latitude,longitude
11100,Hôpital de l'Universite d'Etat d'Haiti - HUEH,1,18.5393009185791,-72.34020233154297
11127,Institut Fame Pereo,1,18.543699264526367,-72.32160186767578
11208,Grace Children's Hospital,1,18.55970001220703,-72.30180358886719
11303,Hôpital de Carrefour,1,18.538299560546875,-72.40750122070312
21100,Hôpital St Michel de Jacmel,2,18.238300323486328,-72.54180145263672
31100,Hôpital Universitaire Justinien,3,19.762399673461914,-72.206298828125
31101,CDS La Fossette,3,19.753799438476562,-72.20600128173828
31102,Hôpital Fort St Michel,3,19.741100311279297,-72.19419860839844
71100,Hôpital Immaculée Conception des Cayes,7,18.30069923400879,-73.76139831542969
71102,Sanatorium,7,,
84100,Hôpital Sainte Thérèse de Miragoane,,18.445999145507812,-73.07009887695312
